col_1,col_2,col_3,col_4,col_5,col_6,composite_z_index,composite_weighted_index,segment,cluster
817.0,18914,289.0,183.0,6,0,0.2264584193000926,0.0,baseline,0
731.0,17839,610.0,216.0,6,6,0.3787305006105718,0.0,baseline,0
429.0,777,1764.0,489.0,10,10,0.785187853034687,0.0,top_10%,0
518.0,21329,1399.0,318.0,12,4,0.9827068250873712,0.0,top_5%,0
887.0,2464,1466.0,66.0,11,10,-0.03211847112687913,0.0,baseline,0
399.0,3196,1257.0,284.0,6,8,0.2956549570287583,0.0,baseline,0
74.0,6,5.8,74.0,36,37849,0.07577465055470721,0.0,baseline,1
69.0,5,11.5,32.0,34,6830,-0.6114937444461592,0.0,baseline,1
23.0,7,3.0,59.0,24,32248,-0.06299237676165265,0.0,baseline,1
59.0,9,4.4,39.0,0,6783,-0.6026669473421039,0.0,baseline,1
33.0,1,10.1,27.0,26,18356,-0.39261571499264536,0.0,baseline,1
31.0,7,8.3,66.0,15,22744,-0.23681633899119311,0.0,baseline,1
14.0,4,8.2,23.0,35,3267,-0.699458311195462,0.0,baseline,1
27.0,8,4.5,94.0,15,25841,-0.12711637470671985,0.0,baseline,1
55.0,6,11.4,45.0,22,20713,-0.3132174338323911,0.0,baseline,1
19.0,6,4.5,31.0,26,30478,-0.14730263065306173,0.0,baseline,1
81.0,5,11.2,78.0,19,26625,-0.13746705254309438,0.0,baseline,1
86.0,6,3.4,83.0,21,7814,-0.5044793099466547,0.0,baseline,1
79.0,3,11.3,23.0,28,31520,-0.13827386491734742,0.0,baseline,1
98.0,8,2.6,85.0,19,14992,-0.3589060254188334,0.0,baseline,1
21.0,4,1.2,93.0,7,11025,-0.42398851179722835,0.0,baseline,1
13.0,4,12.0,54.0,7,6337,-0.5819765814037005,0.0,baseline,1
95.0,4,6.7,71.0,35,3736,-0.6054005952461712,0.0,baseline,1
17.0,2,0.0,34.0,16,25294,-0.24662713024837474,0.0,baseline,1
43.0,8,8.1,93.0,45,13013,-0.3817236636840648,0.0,baseline,1
96.0,7,8.9,82.0,30,27647,-0.11094660528724432,0.0,baseline,1
65.0,6,3.2,74.0,22,26699,-0.14625413198665493,0.0,baseline,1
12.0,1,11.0,90.0,42,74,-0.6425852981292258,0.0,baseline,1
51.0,1,11.3,84.0,14,6346,-0.5288221784364106,0.0,baseline,1
15.0,7,5.2,23.0,5,21819,-0.33284485435044325,0.0,baseline,1
90.0,7,7.5,30.0,2,11559,-0.5228426333085401,0.0,baseline,1
17.0,9,9.1,59.0,21,14463,-0.41301706746319244,0.0,baseline,1
21.0,2,6.4,67.0,47,36987,0.04635367914439556,0.0,baseline,1
95.0,6,9.4,62.0,13,32222,-0.0556666187337011,0.0,baseline,1
22.0,4,7.3,38.0,41,2466,-0.6890173741616173,0.0,baseline,1
33.0,9,7.0,32.0,45,22787,-0.2968776402900856,0.0,baseline,1
18.0,9,9.8,95.0,30,4713,-0.5419711792787368,0.0,baseline,1
39.0,9,3.1,88.0,39,12185,-0.40897746839661997,0.0,baseline,1
21.0,9,9.4,49.0,15,32200,-0.07912574930996708,0.0,baseline,1
92.0,2,2.2,67.0,44,18497,-0.3217915149591511,0.0,baseline,1
68.0,7,8.9,34.0,2,34639,-0.05771885945071312,0.0,baseline,1
46.0,9,6.7,30.0,20,30653,-0.1446456053582514,0.0,baseline,1
31.0,5,6.4,52.0,38,29251,-0.13355679744000218,0.0,baseline,1
87.0,7,10.1,43.0,44,16429,-0.4021687222320919,0.0,baseline,1
33.0,7,9.2,42.0,12,29354,-0.14812476842043154,0.0,baseline,1
92.0,3,4.3,28.0,3,22034,-0.32017482537549513,0.0,baseline,1
91.0,4,4.4,89.0,21,23155,-0.18941085131127003,0.0,baseline,1
27.0,4,3.9,76.0,13,36663,0.05500784443326846,0.0,baseline,1
31.0,4,11.9,58.0,43,22963,-0.24536866361164536,0.0,baseline,1
32.0,1,3.8,47.0,25,36367,-0.00256270310099449,0.0,baseline,1
71.0,2,2.4,55.0,9,35468,-0.006678830322731172,0.0,baseline,1
6.951e+33,63,26.0,3.1,78,928,-0.7722918478831493,0.0,baseline,3
227.0,69,44.0,9.7,94,559,-0.7605428932638731,0.0,baseline,3
0.0,72,41.0,16.7,103,382,-0.7526984614822136,0.0,baseline,3
0.0,26,25.0,2.4,67,434,-0.7848882655101648,0.0,baseline,3
7947089.0,26,73.0,5.2,83,1253,-0.7446430729591244,0.0,baseline,3
3192936.0,61,17.0,12.8,70,822,-0.76077526189871,0.0,baseline,3
65111.0,36,13.0,14.4,85,101,-0.7745930244756436,0.0,baseline,3
775.0,8164,21.0,439.0,15,6,0.23740942439334767,0.0,baseline,0
865.0,6187,513.0,256.0,7,2,0.0448116191223539,0.0,baseline,0
261.0,7214,1385.0,348.0,4,5,0.5865434761261341,0.0,baseline,0
395.0,20082,611.0,387.0,15,1,0.7536635976372406,0.0,baseline,0
141.0,24883,999.0,479.0,12,4,1.2221873528780245,0.0,top_5%,0
454.0,6289,528.0,7.0,10,1,-0.3888399715195242,0.0,baseline,0
448.0,24091,1566.0,128.0,19,1,0.7978736421173247,0.0,top_10%,0
472.0,9805,442.0,149.0,9,8,-0.05969470104489173,0.0,baseline,0
618.0,24684,582.0,434.0,14,7,0.9706152528844356,0.0,top_5%,0
832.0,24753,401.0,382.0,15,11,0.8086244049174944,0.0,top_10%,0
640.0,5468,445.0,250.0,14,0,-0.015476954467682158,0.0,baseline,0
364.0,11644,262.0,117.0,5,8,-0.1301286028740313,0.0,baseline,0
614.0,17177,1918.0,173.0,5,9,0.8001541358401421,0.0,top_10%,0
220.0,6403,679.0,211.0,15,8,0.03752564444813386,0.0,baseline,0
194.0,19587,1608.0,306.0,18,1,0.9893878652148748,0.0,top_5%,0
40.0,13988,460.0,349.0,8,4,0.4345904603454659,0.0,baseline,0
229.0,22740,1410.0,116.0,17,0,0.6721620296101883,0.0,baseline,0
808.0,10998,33.0,166.0,19,11,-0.1540575703733486,0.0,baseline,0
205.0,18395,902.0,147.0,17,10,0.3893829753651387,0.0,baseline,0
35.0,15096,1445.0,26.0,11,11,0.28577658142442314,0.0,baseline,0
91.0,13852,511.0,224.0,10,11,0.22839096238467452,0.0,baseline,0
675.0,1023,1206.0,90.0,12,4,-0.13798096828404363,0.0,baseline,0
520.0,20638,380.0,363.0,8,11,0.6370752532238149,0.0,baseline,0
338.0,9309,1973.0,378.0,4,7,0.9389838495340269,0.0,top_10%,0
469.0,9178,273.0,395.0,12,10,0.2910637383052956,0.0,baseline,0
840.0,1527,1567.0,181.0,5,0,0.18275980905483077,0.0,baseline,0
308.0,22900,349.0,144.0,11,4,0.30635426610359,0.0,baseline,0
933.0,1734,181.0,350.0,15,8,-0.059625013098700996,0.0,baseline,0
670.0,19162,273.0,314.0,4,11,0.4610854891220655,0.0,baseline,0
161.0,8456,513.0,112.0,13,8,-0.13976942816628718,0.0,baseline,0
187.0,3565,777.0,343.0,11,3,0.22174902077885442,0.0,baseline,0
40.0,6937,1927.0,481.0,17,4,1.0292356148336559,0.0,top_5%,0
349.0,17691,1963.0,281.0,13,6,1.026158432460305,0.0,top_5%,0
266.0,4734,614.0,243.0,16,1,0.01601986386822757,0.0,baseline,0
337.0,3088,1916.0,260.0,12,7,0.5108685234609964,0.0,baseline,0
701.0,1102,577.0,16.0,6,4,-0.516500802813822,0.0,baseline,0
269.0,23354,1663.0,379.0,12,7,1.2596178838093843,0.0,top_5%,0
605.0,23364,859.0,453.0,7,1,1.072600411897362,0.0,top_5%,0
110.0,15975,849.0,258.0,11,3,0.4894961013995145,0.0,baseline,0
947.0,21528,1353.0,23.0,9,4,0.4461380311710008,0.0,baseline,0
727.0,2771,1112.0,261.0,17,0,0.18373227864760572,0.0,baseline,0
795.0,1342,1919.0,239.0,9,8,0.4198148512989778,0.0,baseline,0
645.0,20045,1232.0,193.0,10,5,0.6538366065181227,0.0,baseline,0
435.0,1516,1428.0,134.0,12,11,0.04393664851327929,0.0,baseline,0
962.0,8690,314.0,144.0,12,3,-0.15451183523835121,0.0,baseline,0
403.0,24095,1970.0,335.0,10,7,1.326414625969497,0.0,top_5%,0
76.0,9,8.6,32.0,14,12525,-0.49964048110474296,0.0,baseline,1
54.0,9,0.6,53.0,23,30981,-0.09966320134613038,0.0,baseline,1
94.0,7,7.6,53.0,43,28250,-0.15108004854170243,0.0,baseline,1
45.0,5,4.1,27.0,9,27036,-0.2228276828270193,0.0,baseline,1
15.0,5,1.4,57.0,36,19774,-0.31448632748621763,0.0,baseline,1
85.0,2,8.8,85.0,10,20816,-0.2412021092874297,0.0,baseline,1
46.0,7,11.9,90.0,10,35780,0.06566866145748479,0.0,baseline,1
83.0,4,10.7,60.0,24,30114,-0.1005520489972089,0.0,baseline,1
57.0,6,1.9,36.0,11,13989,-0.46626137737119444,0.0,baseline,1
97.0,1,2.5,75.0,18,36711,0.05353146427058149,0.0,baseline,1
68.0,7,8.3,79.0,20,19298,-0.2820001048297026,0.0,baseline,1
48.0,8,4.2,90.0,14,15039,-0.34844870308422904,0.0,baseline,1
15.0,1,11.8,29.0,48,19724,-0.3612707439117898,0.0,baseline,1
63.0,7,5.2,45.0,2,6693,-0.5935268868382377,0.0,baseline,1
39.0,9,5.0,50.0,24,33216,-0.05895462730291137,0.0,baseline,1
27.0,2,9.8,76.0,45,17899,-0.31462617217598354,0.0,baseline,1
38.0,7,1.5,69.0,19,6161,-0.5628601339701156,0.0,baseline,1
12.0,2,5.7,75.0,39,32150,-0.035569199337588245,0.0,baseline,1
59.0,3,1.1,72.0,48,36499,0.04350251407978359,0.0,baseline,1
95.0,7,0.5,28.0,30,17185,-0.4176650729555178,0.0,baseline,1
92.0,8,1.9,37.0,34,30335,-0.14043541428828998,0.0,baseline,1
93.0,3,2.1,84.0,28,15124,-0.35842352725269055,0.0,baseline,1
26.0,7,11.5,45.0,17,20404,-0.3192708406739888,0.0,baseline,1
24.0,4,6.5,82.0,20,31886,-0.0279738112599692,0.0,baseline,1
94.0,9,4.4,67.0,35,39470,0.09499494771779327,0.0,baseline,1
19.0,4,11.7,23.0,41,58,-0.7616742475895233,0.0,baseline,3
42.0,8,8.4,27.0,7,17896,-0.40218702220717684,0.0,baseline,1
71.0,6,2.6,59.0,6,31539,-0.07723512715477485,0.0,baseline,1
76.0,8,3.7,20.0,42,37536,-0.027225242482834644,0.0,baseline,1
69.0,6,7.8,88.0,6,14026,-0.37071875629297046,0.0,baseline,1
99.0,1,1.6,65.0,36,33889,-0.02054131668533729,0.0,baseline,1
73.0,8,5.1,97.0,11,9150,-0.4523665042698246,0.0,baseline,1
87.0,7,5.4,84.0,0,8872,-0.4809065264464334,0.0,baseline,1
87.0,8,9.0,62.0,41,2198,-0.6508509836522812,0.0,baseline,1
65.0,7,10.6,57.0,42,12168,-0.46152961394704595,0.0,baseline,1
84.0,5,0.5,82.0,36,1243,-0.6376790086003402,0.0,baseline,1
88.0,7,9.7,56.0,34,13216,-0.4428929366084996,0.0,baseline,1
43.0,8,6.2,56.0,37,8385,-0.5400018228251153,0.0,baseline,1
68.0,4,5.2,81.0,1,5493,-0.553388230696835,0.0,baseline,1
94.0,6,6.5,90.0,28,31001,-0.0312258653969682,0.0,baseline,1
51.0,7,9.6,95.0,21,35010,0.05838624974886761,0.0,baseline,1
46.0,1,9.4,36.0,13,7137,-0.599254328554104,0.0,baseline,1
63.0,8,6.9,44.0,13,21701,-0.2971345572449105,0.0,baseline,1
58.0,3,3.3,36.0,7,2106,-0.7013268072744108,0.0,baseline,1
85.0,8,0.1,21.0,19,13752,-0.4982836271801251,0.0,baseline,1
18.0,1,8.0,67.0,32,30825,-0.07517684300031632,0.0,baseline,1
2471006.0,69,70.0,3.6,71,792,-0.7564625439890198,0.0,baseline,3
6.0,49,28.0,15.5,84,839,-0.7516526968965784,0.0,baseline,3
66441810.0,64,39.0,6.8,97,61,-0.7777103256457542,0.0,baseline,3
47.0,28,30.0,15.6,71,1443,-0.7393708264611168,0.0,baseline,3
367582.0,18,41.0,17.7,61,1042,-0.7395372522748148,0.0,baseline,3
29.0,63,28.0,12.0,60,871,-0.7568020078834476,0.0,baseline,3
6927772.0,39,68.0,2.8,108,487,-0.76566706837003,0.0,baseline,3
8875972.0,65,58.0,9.8,78,1207,-0.7420959187536132,0.0,baseline,3
170.0,13735,1675.0,318.0,12,10,0.853400949946258,0.0,top_10%,0
489.0,16580,553.0,421.0,7,7,0.6810916385982566,0.0,baseline,0
686.0,19770,1993.0,224.0,8,9,1.0021463244555464,0.0,top_5%,0
329.0,7260,1236.0,131.0,4,11,0.1431438424551672,0.0,baseline,0
949.0,638,933.0,132.0,10,3,-0.1836744799389657,0.0,baseline,0
803.0,19325,1031.0,70.0,17,9,0.3328409073494327,0.0,baseline,0
595.0,5395,1760.0,205.0,7,10,0.42383123737040007,0.0,baseline,0
106.0,22193,1510.0,271.0,11,4,0.9703191128039614,0.0,top_5%,0
149.0,17243,1476.0,252.0,13,0,0.7672713976012963,0.0,baseline,0
517.0,7090,1032.0,114.0,5,8,0.026615872575876713,0.0,baseline,0
194.0,18134,1476.0,395.0,17,2,1.0496288570530772,0.0,top_5%,0
268.0,16218,1566.0,435.0,8,6,1.0962590729858355,0.0,top_5%,0
661.0,19050,921.0,236.0,11,11,0.5758049945023774,0.0,baseline,0
275.0,24416,292.0,487.0,14,5,0.9414021124864012,0.0,top_10%,0
29.0,8225,1397.0,79.0,19,8,0.14480840817494178,0.0,baseline,0
845.0,10662,281.0,136.0,6,11,-0.11963645138194456,0.0,baseline,0
521.0,23796,944.0,73.0,13,5,0.4442318159340244,0.0,baseline,0
73.0,9065,1385.0,62.0,14,1,0.13610263346740173,0.0,baseline,0
724.0,2402,423.0,22.0,14,5,-0.5259851683923418,0.0,baseline,0
486.0,19956,187.0,285.0,16,4,0.40025090823186926,0.0,baseline,0
14.0,19120,922.0,438.0,5,7,0.9375335703002986,0.0,top_10%,0
847.0,2458,373.0,111.0,16,7,-0.3857446590945242,0.0,baseline,0
336.0,22812,707.0,335.0,14,11,0.7853289501949535,0.0,top_10%,0
696.0,4391,1372.0,66.0,11,1,-0.008957284790227255,0.0,baseline,0
625.0,21354,1935.0,319.0,8,8,1.1978872007092296,0.0,top_5%,0
642.0,9477,496.0,19.0,12,2,-0.27989287717991285,0.0,baseline,0
412.0,2301,1716.0,411.0,9,9,0.6753668560797386,0.0,baseline,0
643.0,6131,1515.0,83.0,14,10,0.13288520100106246,0.0,baseline,0
572.0,20474,542.0,286.0,18,8,0.5591676257324354,0.0,baseline,0
80.0,5137,101.0,424.0,8,9,0.14730410246253162,0.0,baseline,0
639.0,12712,910.0,177.0,13,10,0.2671473779401738,0.0,baseline,0
20.0,20684,1172.0,266.0,15,2,0.7798984955999427,0.0,top_10%,0
989.0,12445,1793.0,155.0,6,9,0.5697374243443937,0.0,baseline,0
643.0,20080,901.0,347.0,16,8,0.7976005787444094,0.0,top_10%,0
548.0,14453,882.0,471.0,9,2,0.8334582869264869,0.0,top_10%,0
927.0,2354,1167.0,21.0,10,5,-0.23425994241398643,0.0,baseline,0
571.0,18580,115.0,424.0,16,3,0.5755788966310547,0.0,baseline,0
391.0,7424,1314.0,100.0,14,10,0.1240851550569648,0.0,baseline,0
366.0,8319,767.0,413.0,19,3,0.4917968682994422,0.0,baseline,0
183.0,3441,1219.0,354.0,9,5,0.4127125032100926,0.0,baseline,0
932.0,15972,1462.0,106.0,14,4,0.46219404301847256,0.0,baseline,0
145.0,23255,871.0,14.0,15,0,0.2932520169552145,0.0,baseline,0
945.0,2352,1222.0,491.0,10,8,0.6233299197522463,0.0,baseline,0
972.0,22741,97.0,242.0,17,0,0.3756198286805348,0.0,baseline,0
322.0,19901,1492.0,433.0,17,9,1.179266082700226,0.0,top_5%,0
665.0,12929,1983.0,212.0,18,10,0.7616817284957583,0.0,baseline,0
23.0,6,9.3,39.0,48,9640,-0.5441913711946631,0.0,baseline,1
79.0,4,6.5,79.0,42,35983,0.04789570570331081,0.0,baseline,1
66.0,1,8.6,45.0,48,21507,-0.29874754790870917,0.0,baseline,1
96.0,4,7.2,73.0,16,14387,-0.39053837743707126,0.0,baseline,1
79.0,8,10.1,61.0,43,15452,-0.3894930610375633,0.0,baseline,1
68.0,1,3.9,24.0,0,38312,-0.004872403662698338,0.0,baseline,1
72.0,9,4.6,94.0,4,20539,-0.23213320088234612,0.0,baseline,1
44.0,4,11.6,49.0,3,23786,-0.24517978929171425,0.0,baseline,1
45.0,9,8.5,70.0,2,14579,-0.39139489670845673,0.0,baseline,1
34.0,3,8.4,64.0,14,36317,0.02856369549840973,0.0,baseline,1
87.0,2,6.6,64.0,47,19057,-0.31428216530697906,0.0,baseline,1
19.0,7,1.6,40.0,21,16166,-0.4160867385565431,0.0,baseline,1
10.0,7,1.4,83.0,30,3920,-0.5824216660469952,0.0,baseline,1
85.0,7,3.5,74.0,46,28979,-0.10091313450558546,0.0,baseline,1
93.0,1,1.0,96.0,27,2699,-0.5838523057367394,0.0,baseline,1
55.0,1,7.0,91.0,49,26567,-0.11729040872229021,0.0,baseline,1
43.0,9,7.4,27.0,33,26142,-0.23911280483435618,0.0,baseline,1
96.0,5,1.7,33.0,32,5309,-0.6437482852243854,0.0,baseline,1
85.0,3,5.5,51.0,13,24807,-0.22383684417184296,0.0,baseline,1
14.0,3,2.4,97.0,27,12743,-0.38237957553028357,0.0,baseline,1
14.0,7,6.1,51.0,16,5745,-0.601290196136895,0.0,baseline,1
79.0,5,5.5,92.0,28,14049,-0.36409328447596123,0.0,baseline,1
67.0,3,0.6,36.0,14,32130,-0.10730875552864,0.0,baseline,1
80.0,8,1.3,83.0,16,7900,-0.5035445426670082,0.0,baseline,1
50.0,2,11.4,25.0,32,14712,-0.46785096613450905,0.0,baseline,1
34.0,1,8.1,67.0,48,14822,-0.3923235715280193,0.0,baseline,1
39.0,9,6.4,70.0,16,5650,-0.5692042370989937,0.0,baseline,1
59.0,2,6.6,51.0,20,24686,-0.22583039538151095,0.0,baseline,1
43.0,8,8.2,29.0,43,33663,-0.08620103815184793,0.0,baseline,1
69.0,7,11.5,35.0,14,32850,-0.0903683877094798,0.0,baseline,1
88.0,6,9.3,63.0,13,6412,-0.5654933682103611,0.0,baseline,1
74.0,9,3.5,87.0,1,3352,-0.5856710040787496,0.0,baseline,1
81.0,4,12.0,37.0,4,23374,-0.27452637766874155,0.0,baseline,1
98.0,9,3.5,37.0,31,11575,-0.5116008357859227,0.0,baseline,1
98.0,2,10.1,96.0,46,4493,-0.5446546337505916,0.0,baseline,1
84.0,5,6.4,80.0,49,17045,-0.32569357735758253,0.0,baseline,1
35.0,5,5.0,60.0,42,23148,-0.24084990971376452,0.0,baseline,1
80.0,8,8.5,80.0,45,28193,-0.10380833391203922,0.0,baseline,1
41.0,7,12.0,46.0,24,38951,0.050315246977598205,0.0,baseline,1
89.0,8,10.2,47.0,4,14985,-0.4236052600955825,0.0,baseline,1
14.0,8,2.3,63.0,18,36449,0.02714020807293052,0.0,baseline,1
26.0,4,11.2,55.0,1,30812,-0.09541045029430856,0.0,baseline,1
30.0,3,11.8,34.0,8,35298,-0.043633094863345406,0.0,baseline,1
12.0,5,9.9,20.0,39,22847,-0.3160034942559955,0.0,baseline,1
63.0,4,0.9,39.0,24,25561,-0.23202397011906287,0.0,baseline,1
17.0,7,7.0,56.0,0,34610,-0.01992521709839215,0.0,baseline,1
32.0,64,55.0,0.9,91,309,-0.7769422494905193,0.0,baseline,3
17.0,42,79.0,5.0,60,1450,-0.7382116897331695,0.0,baseline,3
148165.0,20,10.0,11.7,68,448,-0.7742094910369066,0.0,baseline,3
98800.0,38,49.0,12.7,54,597,-0.7534473941119348,0.0,baseline,3
38747000.0,53,20.0,4.2,107,93,-0.7895795017656388,0.0,baseline,3
670914.0,28,61.0,4.0,83,768,-0.7610852708438061,0.0,baseline,3
939.0,19827,1374.0,356.0,11,11,0.9932619465871402,0.0,top_5%,0
453.0,20418,509.0,206.0,4,6,0.40202007049461586,0.0,baseline,0
806.0,11813,1325.0,388.0,17,5,0.7785417696146544,0.0,top_10%,0
704.0,11245,1464.0,80.0,7,11,0.26820568121330723,0.0,baseline,0
484.0,8452,93.0,470.0,10,1,0.3300450969624633,0.0,baseline,0
403.0,1203,324.0,85.0,18,6,-0.4909043634486641,0.0,baseline,0
74.0,23447,1341.0,339.0,11,6,1.0637122407372739,0.0,top_5%,0
385.0,2686,1473.0,303.0,4,6,0.39900959666372665,0.0,baseline,0
650.0,24740,179.0,218.0,4,9,0.428512239106012,0.0,baseline,0
619.0,24246,238.0,443.0,8,10,0.8364980411626461,0.0,top_10%,0
629.0,24233,1186.0,331.0,12,11,1.0128473285061157,0.0,top_5%,0
543.0,1001,1613.0,138.0,16,3,0.10804889778861566,0.0,baseline,0
99.0,9966,865.0,56.0,16,6,-0.0523194750585175,0.0,baseline,0
966.0,18803,989.0,129.0,8,10,0.40470515198798185,0.0,baseline,0
971.0,23698,55.0,263.0,11,7,0.42655008321941185,0.0,baseline,0
284.0,14998,66.0,198.0,6,11,0.04175004126924314,0.0,baseline,0
103.0,7367,1099.0,107.0,19,11,0.04950742475149625,0.0,baseline,0
304.0,11823,1982.0,159.0,5,8,0.6322088817870885,0.0,baseline,0
10.0,4765,1535.0,470.0,19,6,0.7859581223877347,0.0,top_10%,0
571.0,23445,175.0,178.0,6,0,0.31488362991153135,0.0,baseline,0
117.0,1640,248.0,58.0,12,5,-0.555327503715039,0.0,baseline,0
308.0,18057,227.0,33.0,13,0,-0.09182224425075089,0.0,baseline,0
246.0,10501,1970.0,170.0,18,7,0.6054088922674004,0.0,baseline,0
908.0,20224,402.0,180.0,19,10,0.30733430802803696,0.0,baseline,0
910.0,4090,790.0,288.0,15,1,0.14557320440562316,0.0,baseline,0
731.0,17131,477.0,118.0,13,3,0.12939371764325314,0.0,baseline,0
12.0,17194,49.0,89.0,6,6,-0.08984682868870653,0.0,baseline,0
757.0,1764,438.0,13.0,14,9,-0.5560303719221026,0.0,baseline,0
174.0,2182,1994.0,395.0,4,11,0.7534446423484367,0.0,baseline,0
614.0,9741,297.0,388.0,7,2,0.30568274292629016,0.0,baseline,0
933.0,3257,1101.0,492.0,10,10,0.6056348031805493,0.0,baseline,0
434.0,9434,1271.0,138.0,6,1,0.2376538167766786,0.0,baseline,0
306.0,6242,616.0,111.0,11,2,-0.17046490845206458,0.0,baseline,0
554.0,15375,1064.0,173.0,11,10,0.4048621440081317,0.0,baseline,0
166.0,14800,1750.0,340.0,16,2,0.9556024667236278,0.0,top_10%,0
358.0,15510,1316.0,405.0,17,4,0.9214709062298128,0.0,top_10%,0
218.0,3459,281.0,40.0,6,6,-0.5170155106731151,0.0,baseline,0
919.0,11342,352.0,127.0,11,7,-0.08617792917280592,0.0,baseline,0
348.0,12170,867.0,35.0,11,5,-0.01956416926795354,0.0,baseline,0
136.0,16394,1168.0,6.0,5,2,0.18102385270620902,0.0,baseline,0
30.0,19901,731.0,398.0,18,11,0.815312249277613,0.0,top_10%,0
12.0,2372,1692.0,19.0,10,7,-0.029035939655360637,0.0,baseline,0
798.0,21228,683.0,27.0,13,1,0.17808470570970444,0.0,baseline,0
409.0,3746,1544.0,6.0,9,3,-0.06769967153950943,0.0,baseline,0
329.0,5986,1258.0,43.0,9,8,-0.04475241360485263,0.0,baseline,0
987.0,3544,1575.0,187.0,19,7,0.26018398653738806,0.0,baseline,0
47.0,8,1.7,51.0,28,25271,-0.21598967956036305,0.0,baseline,1
95.0,5,11.3,47.0,4,37330,0.01962411568400005,0.0,baseline,1
49.0,8,6.9,40.0,16,5248,-0.6303531925452475,0.0,baseline,1
11.0,1,3.0,27.0,17,37718,-0.011667816609484266,0.0,baseline,1
84.0,8,2.2,51.0,45,21543,-0.28968199018705354,0.0,baseline,1
63.0,7,6.6,54.0,6,26386,-0.18664359297131627,0.0,baseline,1
36.0,9,9.6,24.0,4,21094,-0.34362879165830695,0.0,baseline,1
13.0,3,9.3,22.0,0,14072,-0.48667208217167446,0.0,baseline,1
40.0,2,8.2,53.0,2,21082,-0.2930722668787505,0.0,baseline,1
